,label,density,lat,lon,clusters,spread,neighborhood
0,0,4.472199999999998,42.31819979999987,-71.0566865,226,1.978849557522123,Dorchester
1,1,2.4024,42.317667899999876,-71.0400869,67,3.585671641791045,Dorchester
2,2,1.4262000000000001,42.32524659999988,-71.0586161,62,2.3003225806451613,Dorchester
3,3,0.013900000000000001,42.300745299999875,-71.0605577,2,0.6950000000000001,Dorchester
4,4,2.8747000000000007,42.28490729999986,-71.0645719,79,3.638860759493672,Dorchester
5,0,0.5952999999999999,42.35224969999987,-71.1212242,11,5.411818181818181,Allston/Brighton
6,1,4.224400000000001,42.35311259999988,-71.1321579,61,6.925245901639346,Allston/Brighton
7,2,5.8557999999999995,42.35051699999987,-71.1311344,89,6.579550561797752,Allston/Brighton
8,3,3.490299999999999,42.35202189999989,-71.1244183,47,7.426170212765956,Allston/Brighton
9,4,5.6880999999999995,42.352178799999876,-71.1185682,47,12.102340425531914,Allston/Brighton
10,5,0.0112,42.35295609999987,-71.1302017,1,1.1199999999999999,Allston/Brighton
11,0,0.13559999999999997,42.315813899999874,-71.1038069,15,0.9039999999999998,Jamaica Plain/Roxbury
12,1,5.409099999999997,42.30008489999989,-71.1135202,121,4.470330578512394,Jamaica Plain/Roxbury
13,2,15.981400000000011,42.337923899999865,-71.081394,592,2.699560810810813,Jamaica Plain/Roxbury
14,0,46.6137,42.36772829999988,-71.018968,64,72.83390625,East Boston
15,1,88.83319999999998,42.363667099999866,-71.0193395,192,46.26729166666666,East Boston
16,2,2.0305,42.38774599999988,-71.0166859,17,11.944117647058825,East Boston
17,3,2.2624,42.369379599999874,-71.0394327,51,4.436078431372549,East Boston
18,0,5.275200000000001,42.33671139999987,-71.0475002,42,12.560000000000002,South Boston/Waterfront
19,1,0.3816,42.335395399999875,-71.0459263,4,9.54,South Boston/Waterfront
20,2,2.7177000000000002,42.342580899999874,-71.0567801,23,11.81608695652174,South Boston/Waterfront
21,3,7.850800000000002,42.350307199999875,-71.0481199,79,9.937721518987345,South Boston/Waterfront
22,4,3.9602,42.34661419999988,-71.0438821,35,11.314857142857143,South Boston/Waterfront
23,5,4.6333,42.350123899999886,-71.0422442,38,12.192894736842106,South Boston/Waterfront
24,6,5.700600000000001,42.34861359999987,-71.0384623,36,15.835000000000004,South Boston/Waterfront
25,7,29.885099999999984,42.35246289999987,-71.046572,186,16.06725806451612,South Boston/Waterfront
26,8,0.6137999999999999,42.34917989999986,-71.0497101,6,10.229999999999999,South Boston/Waterfront
27,9,1.8585000000000003,42.34799689999987,-71.0399359,15,12.390000000000002,South Boston/Waterfront
28,10,3.7994000000000003,42.35167819999988,-71.0437975,45,8.443111111111111,South Boston/Waterfront
29,11,1.0172,42.35045689999986,-71.0508653,10,10.172,South Boston/Waterfront
30,12,3.367,42.34358079999987,-71.0451898,20,16.835,South Boston/Waterfront
31,13,0.4028,42.34452649999987,-71.0442477,4,10.07,South Boston/Waterfront
32,0,1.1642000000000003,42.26918559999988,-71.0938386,77,1.5119480519480524,Roslindale/Mattapan/Hyde Park/West Roxbury
33,1,0.18309999999999998,42.28044019999988,-71.0913516,22,0.8322727272727272,Roslindale/Mattapan/Hyde Park/West Roxbury
34,2,0.2165,42.28670449999986,-71.1288213,22,0.984090909090909,Roslindale/Mattapan/Hyde Park/West Roxbury
35,3,0.0528,42.29147359999988,-71.1219792,9,0.5866666666666667,Roslindale/Mattapan/Hyde Park/West Roxbury
36,0,2.3957,42.37164929999988,-71.0610295,69,3.472028985507247,Charlestown
37,1,0.0252,42.37461659999987,-71.0627268,2,1.26,Charlestown
38,2,0.0661,42.377334899999866,-71.05142,4,1.6525,Charlestown
39,3,0.0721,42.375452699999876,-71.0534592,2,3.605,Charlestown
40,0,0.9344999999999999,42.349423699999875,-71.07963670000001,4,23.362499999999997,Back Bay/Fenway/Mission Hill/Longwood/South End
41,1,3.1395999999999997,42.34637969999987,-71.0848915,16,19.6225,Back Bay/Fenway/Mission Hill/Longwood/South End
42,2,5.0548,42.34963249999988,-71.0747479,14,36.105714285714285,Back Bay/Fenway/Mission Hill/Longwood/South End
43,3,4.1436,42.34779669999988,-71.0800515,24,17.265,Back Bay/Fenway/Mission Hill/Longwood/South End
44,4,3.9278999999999997,42.34882429999987,-71.0777735,20,19.639499999999998,Back Bay/Fenway/Mission Hill/Longwood/South End
45,5,3.7685999999999997,42.3487154999999,-71.08225360000002,6,62.809999999999995,Back Bay/Fenway/Mission Hill/Longwood/South End
46,6,7.1638,42.347184099999865,-71.0760219,21,34.11333333333333,Back Bay/Fenway/Mission Hill/Longwood/South End
47,7,0.1991,42.345732699999864,-71.0814788,1,19.91,Back Bay/Fenway/Mission Hill/Longwood/South End
48,8,0.4206,42.34471949999986,-71.0637133,2,21.029999999999998,Back Bay/Fenway/Mission Hill/Longwood/South End
49,9,12.266599999999997,42.344653199999854,-71.0972969,52,23.589615384615378,Back Bay/Fenway/Mission Hill/Longwood/South End
50,10,2.9577,42.34989359999986,-71.1043764,9,32.86333333333333,Back Bay/Fenway/Mission Hill/Longwood/South End
51,11,4.798900000000001,42.34043629999989,-71.08838430000002,14,34.277857142857144,Back Bay/Fenway/Mission Hill/Longwood/South End
52,12,3.033,42.34931919999987,-71.1020746,6,50.550000000000004,Back Bay/Fenway/Mission Hill/Longwood/South End
53,13,0.5298,42.347132499999866,-71.0949544,1,52.980000000000004,Back Bay/Fenway/Mission Hill/Longwood/South End
54,14,0.44179999999999997,42.34874349999988,-71.0958394,2,22.09,Back Bay/Fenway/Mission Hill/Longwood/South End
